_NSXPCDistantObjectSynchronousWithError,_NSXPCDistantObjectWithError
OS_xpc_uint64,OS_xpc_object
NSAccessibilityTableHeaderCellProxy,NSAccessibilityReparentingCellProxy
NSSQLAdapter,NSObject
MTLTextureDescriptor,NSObject
NSConstantValueExpression,NSExpression
CIBlendWithAlphaMask,CIFilter
NSAccessibilityColorButtonMockUIElement,NSAccessibilityIndexedMockUIElement
NSActionCell,NSCell
CUIOuterShadowFilter,CIFilter
NSScriptFakeObjectTypeDescription,NSScriptObjectTypeDescription
CIPlusDarkerCompositing,_CICompositeFilter
NSMutableRangeArray,NSMutableArray
NSScrollingBehaviorConcurrentVBL,NSScrollingBehavior
NSFlippableView,NSView
NSBigEEncodingDetector,NSEncodingDetector
NSTileScrollingInfoLayer,CALayer
CUILayoutInformation,NSObject
NSSavePanelAlertStyleContentView,NSView
NSRemoteSavePanelOrderingContext,NSObject
AUAudioUnitV2Bridge,AUAudioUnit
NSXPCStoreNotificationObserver,NSObject
_NSStateMarker,NSObject
NSRegularOverlayScrollerImp,NSOverlayScrollerImp
GSDaemonProxySync,NSProxy
_NSNavButtonCell,NSButtonCell
NSURLQueue,NSObject
NSColorWell,NSControl
NSPipe,NSObject
_PFFetchPlanHeader,NSObject
NSAKDeserializer,NSObject
_CUIThemeEffectRendition,CUIThemeRendition
_NSCFTranslatedFileURLProtocol_PIMPL_1,_NSCFTranslatedFileURLProtocol
CIReductionFilter,CIFilter
NSPPDParse,NSObject
_NSViewDrawOperation,NSOperation
NSCalibratedRGBColor,NSColor
DDLookupRegexp,DDBasicRegexp
CASlotProxy,NSObject
NSViewMultiClipDrawingHelper,NSObject
CFPrefsSearchListSource,CFPrefsSource
PFUbiquityBaselineMetadata,NSObject
PASample,NSObject
NSBig5HKSCSEncodingDetector,NSEncodingDetector
CoreWiFiWPSTLVs,NSObject
NSCTRubyAnnotation,NSRubyAnnotation
NSISEngine,NSObject
NSKeyValueProxyShareKey,NSObject
NSScrollerImp,NSObject
_NSScrollingConcurrentVBLPreprocessFilter,NSObject
NSSQLAttribute,NSSQLColumn
_MTLDevice,NSObject
NSConcretePipe,NSPipe
_NSToolbarConfigPanelLoader,NSObject
NSArray,NSObject
NSPrivateCoreDataClassForFindingBundle,NSObject
NSDeviceWhiteColor,NSCalibratedWhiteColor
_NSSoundAux,NSObject
MTLArgumentInternal,MTLArgument
NSTouchDevice,NSObject
InkRecognizerPoint,NSObject
NSCollectionViewFlowLayout,NSCollectionViewLayout
DBGViewDebuggerSupport_OSX,DBGViewDebuggerSupport
CIHueAdjust,CIFilter
NSTextDragInfo,NSObject
BU_TMTimeline,BU_TMControl
_PFArray,NSArray
DDScannerResult,NSObject
_NSActivityAssertion,NSObject
_NSScrollingConcurrentEventVBLPreprocessFilter,_NSScrollingConcurrentVBLPreprocessFilter
NSUndoManagerProxy,NSProxy
_NSViewControllerPrivateData,NSObject
__NSDictionary0,NSDictionary
NSXMLSchemaType,NSObject
NSPersistentUIEncodedReference,NSObject
PASampleFrame,NSObject
_NSPasteboardOwnersCollection,NSObject
NSCollectionViewMouseSession,NSResponder
NSInputContext,NSTextInputContext
CIColorControls,CIFilter
CIBlendWithMask,CIFilter
NSLocale,NSObject
PFUbiquityExportContext,NSObject
